Transaction Date,Security,Transaction Type,Transaction Price,Units Credit/Debit,Amount Credit/Debit
03-Oct-17,Adani Ports and Special Economic Zone,Buy,379.6981,27,10251.85
11-Dec-17,Adani Ports and Special Economic Zone,Sell,391.75,-27,-10503.21
